date,country,economic_risk_pillar_score,trailing_12m_avg
2011-01-01,ITA,0.4576849344409563,1.0161617072068525
2012-01-01,ITA,2.29598691554702,1.1989938798268764
2013-01-01,ITA,2.232340288267854,1.3281621808819986
2014-01-01,ITA,1.2611587232792612,1.3207173522594724
2015-01-01,ITA,-0.2273951727435599,1.165906099759169
2016-01-01,ITA,-1.5172920628793038,0.9219789940647624
2017-01-01,ITA,-0.4438645238949905,0.8081587009014496
2018-01-01,ITA,0.23110550555211112,0.6531956427371187
2019-01-01,ITA,0.1564830889541138,0.4755902307698101
2020-01-01,ITA,0.9386101548046571,0.3452762877613209
2021-01-01,ITA,0.05136318203418164,0.47608908345689666
2022-01-01,ITA,-1.3666351738078888,0.33912882162953434
2023-01-01,ITA,-1.6568030260861577,0.16292149158560817
2024-01-01,ITA,-0.7177121307076693,-0.08822009560228261
2025-01-01,ITA,1.9732600055369913,-0.10981011916318782
2006-01-01,JPN,2.0260405917614897,2.0260405917614897
2007-01-01,JPN,2.5278133143658597,2.2769269530636747
2008-01-01,JPN,2.868322063066371,2.4740586563979066
2009-01-01,JPN,-1.1469323793778137,1.5688108974539765
2010-01-01,JPN,0.90448415340374,1.4359455486439292
2011-01-01,JPN,0.7699858404726586,1.3249522639487175
2012-01-01,JPN,0.07889101089063887,1.146943513511849
2013-01-01,JPN,-0.22304187948961104,0.9756953393866666
2014-01-01,JPN,1.470028921799515,1.0306212929880942
2015-01-01,JPN,-0.3207751447032238,0.8954816492189623
2016-01-01,JPN,-0.15116992580138458,0.8003315060352946
2017-01-01,JPN,0.2288420562912003,0.7527073852232866
2018-01-01,JPN,0.36091899970023683,0.6139472525515156
2019-01-01,JPN,0.12549066540136855,0.41375369847114135
2020-01-01,JPN,1.841137524332733,0.32815498691000483
2021-01-01,JPN,0.38966763953317346,0.45620498848592045
2022-01-01,JPN,-1.0214624780273305,0.2957094358666646
2023-01-01,JPN,-2.5021194919032097,0.023033991502008872
2024-01-01,JPN,-2.277310430389591,-0.17331612860467693
2025-01-01,JPN,3.6620915444231055,0.15044499005471612
2006-01-01,KOR,0.27166819370552714,0.27166819370552714
2007-01-01,KOR,0.448624526185606,0.36014635994556654
2008-01-01,KOR,-1.572384858799614,-0.28403071296949367
2009-01-01,KOR,-1.160057777524725,-0.5030374791083014
2010-01-01,KOR,-1.9514433322156814,-0.7927186497297776
2011-01-01,KOR,-0.7262239910640577,-0.7816362066188242
2012-01-01,KOR,-0.5183124316685143,-0.7440185244830656
2013-01-01,KOR,-1.0492476829281585,-0.7821721692887023
2014-01-01,KOR,-1.733361742819547,-0.8878598996810183
2015-01-01,KOR,0.5058938583872199,-0.7484845238741945
2016-01-01,KOR,-0.01987240835719143,-0.6822470588271942
2017-01-01,KOR,0.8825952876202101,-0.5518435299565772
